Sample,Ground Truth,Prediction,WER
800,quality eight nine sierra contact tower one one eight decimal one good day tower eight decimal one good day quality eight,two eight nos contact tav on line distance good day,80.95
1340,zero six zero vectoring fo,zero,80.0
2627,three one kilo hotel runway three one cleared for takeoff,kilo day air runway three one kilo day off town,80.0
2912,descend flight level three two,and five decimal three four,80.0
1367,el al five two one praha good evening radar con,good evening,80.0
1158,lufthansa one uniform xray climb flight level three one zero,november six lzt one zero,80.0
1193,csa four eight zero turn right proceed direct to artup,if youre on the right proceed to romeo two,80.0
1350,csa four nine five contact ground one two one nine,cc four nine five contact ground one two zero you are in a position now,80.0
2846,tower jetstar seven six three,city of tardis south seven six three,80.0
1817,one nineteen zero delta two,one one nine zero delta two one zero,80.0
49,one fifty we will do,one five zero vehicle due,80.0
1879,down to one hundred the oscar bravo foxtrot thank you,thank you,80.0
2742,seven seven zero good night,good day,80.0
1211,runway three one cleared for takeoff csa eight nine four,runway three one zero decimal eight go csa nine zero four decision all,80.0
2625,hotel echo xray downwind two five for touch and go,hotelico is failed im in two five for the checkbook,80.0
97,cleared to land runway one three csa five mike bravo,and you are on the runway one three say say five knots bravo,80.0
2800,nor shuttle three five eight one ruzyne tower good afternoon,good afternoon,80.0
2862,two fifty or less gro,two five zero orazco,80.0
75,heli india echo hotel whiskey three thousand six hundred feet,and the deck is three sierra india xray hundred feet,80.0
1244,scending flight level one one,for the one,80.0
2852,wizz air four yankee victor proceed direct oscar kilo golf,therefore in key vector proceed direct of scarglow gulf,80.0
2837,golf bravo zulu alfa number three csa three five delta,golf bravo zulu alpha one number three csa three five delta delta echo charlie alfa victor echo,80.0
242,oman air one one three good morning praha radar contac,good morning good morning,80.0
865,easy six eight kilo papa,is this secure papa,80.0
1045,zero nine five next call,zulu foxtrot five thanks paul,80.0
2291,csa three seven bravo ground one two one decimal nine,ctc seven bravo ground one two on the charlie nine enough is enough,80.0
500,from present proceed direct mik,no preso proceed direct to the,80.0
578,oscar kilo kilo kilo whiskey descend to five thousand feet qnh one zero one six,osc kvv descend to five zulu echo romeo oscar feet kilo one hotel one zero one six,80.0
591,ryan air eight zero eight eight climb at one thousand feet per minute or greater,rainier eight zero eight eight combat one zulu echo romeo oscar feet by the network gator,80.0
252,two zero zero knots or less one seven eight two,two zero zero knots alfa lima tango romeo india golf hotel tango one seven eight two,80.0
450,reduce one ninety csa nine,reduce,80.0
1057,ruzyne tower csa three charlie zulu establish ils one three,rogan tower ccc three celus ludo three which is celus one three,80.0
606,zero zero csa eight tango,zero zero she is a single,80.0
771,cending flight level two nine zero bluefin seven eight nine,cessna two zero zero two five zero cessna eight nine zero,80.0
801,contract two romeo golf hello,hello,80.0
414,csa three delta echo after landing expedite vacating via golf,this is three delta echo charlie oscar after landing expect advocating for goals,80.0
1463,descend to flight level one,channel five over one,80.0
742,delta echo four three s,delta go for it chris,80.0
808,easy nine charlie lima continue present heading vectoring ils approach runway three one information lima,as you can see the vehicle is approaching runway three one,80.0
2069,tower csa six three three established ils runway one three,atc six three three to privec its to the silence runway one three,80.0
2068,two zero turning heading north,to the wall turning right heading north,80.0
2588,runway two five cleared touch and go hotel echo xray,binary two five contact check road telecoil is fine,80.0
2003,to flight level one fo,this final one,80.0
2598,cend flight level one tw,of zero one,80.0
2602,praha ra radar aero flot two five eight good afternoon,good afternoon,80.0
2300,seven two seven good bye,bye bye,80.0
948,tower csa eight mike two approaching holding point runway three one ready for departure,double clear state mike two repeat and a two kilo india golf holding for runway three one ready for departure,78.57
2060,thank you very much one zero one eight descend four thousand any speed restric,okay much one zero one eight this is four zero zero zero i need speed restriction,78.57
2027,right heading two nine zero intercept localizer runway three one swedestar zero five one,right turning two nine theres a wind to the top july three one switch to the five one,78.57
821,ruzyne tower csa two delta zulu ready when reaching holding point runway three one,rusia towards csa turato zoh dubrieda naharadi veneriche nordenthal anano eight three one,78.57
1596,austrian five two hotel juliett praha radar contact descend flight level three three zero,charlie oscar sierra one zero five total juliet prowell radar contact descent fly level three three zero,78.57
2739,radar hello four tango whiskey flight level three five zero on whiskey lima mike,radar lowest support thank you keep watching three five zero one more whiskey leave him alone,78.57
327,zero one landing traffic now on the runway is crj seven can you see,christoph zulu echo romeo oscar oscar november echo landing traffic now on the runway is charlie romeo juliett seven can you see,78.57
2710,descend flight level two nine zero descend two nine zero austrian three two fo,bravo seven foxtrot lima two nine zero,78.57
321,descend flight level two nine zero one thousand or greater flot one two one,dispatcher this is apollo two nine zero zero one zero zero zero great air force one two one,78.57
1978,csa four delta romeo radar radar contact climb to flight level one six zero,wncs alfa four delta alfa lima tango alfa romeo alfa mike alfa uniform radar radar contact climb to fly level one six zero,78.57
900,cleared for takeoff runway three one csa seven nine,okay pozet go right ahead youre on csa seven nine,77.78
1039,finn air seven five whiskey proceed direct to arvek,turn on sound on five west key proceed direct to arbic,77.78
1552,left heading three four zero cleared ils runway three one we ll advice when establish oscar sierra juliett,left heading three four zero cleared all is from the three one well advance and establish oscar foxtrot foxtrot charlie alfa sierra tango territory,77.78
953,turn maintaining present heading thanks swiss four nine nine,trauma maintaining presence setting your thanks this is four nine nine nine,77.78
1447,easy nine charlie lima contact ground one two one nine bye two one nine easy nine charlie l,eight nine c contact ground one to line goodbye,77.78
1734,ding flight level one five zero information oscar qn,cessna two five havana five zero information ocala two two,77.78
1170,praha good day one three four five three makal,bagrego one three four five three four zero to macas,77.78
1783,hotel india victor whiskey three thousand five hundred feet,celin ya rictor whiskey three foxtrot india victor echo hundred feet,77.78
1432,csa five alfa juliett line up runway one three,csa file for alpha two alfa to line up on alfa one three,77.78
1,german wing seven papa ruzyne tower hello again roger,hello again,77.78
2239,descend to flight level two eight zero thank you,thank you,77.78
2807,bline eight hotel sierra left heading zero five zero,bravo lima india november echo eight zero zero sierra left heading zero five zero,77.78
2196,csa three foxtrot praha radar conact descen to flight level one three zero information oscar no speed lim,csa three foxtrot oscar to be embraced our contact distance to flight level of on trees or information oscar knows people,77.78
2326,lufthansa one kilo k descending flight level one three,one zero one keto keto youre descending at level one three four,77.78
2657,fl three zero zero austrian three zero five november,climb level three zero zero austin giver climb level,77.78
2204,beline one charlie lima squawk one four six seven,bravo lima india november echo one charlie lima uniform sierra one four six seven,77.78
142,one two one zero five five lufthansa six tango yankee have good night bye thank you thank you,thank you thank you,77.78
2823,three four zero in kolad lot three six one,three four zero in the call out is alfa lima tango three six one,77.78
756,and departure time is now three six we believe we can go five minutes before that so requesting,departure time is now tango hotel romeo echo echo sierra india xray tango hotel sierra we believe we can go five minutes before that so we request,77.78
2034,air berlin eight seven victor praha hello radar contact,hello contact,77.78
2370,lufthansa five yankee victor radar radar contact descend flight level one zero zero oscar information maintain higher sp,ill look thumbs up i think you vector radar radar contact the same flight level from zero zero scar information maintain house,77.78
2610,any chance inbound miska aero flot one four four,in the tip of mouth miska i report one four four,77.78
2284,wizz air four quebec sierra roger landing traffic standby,alfa india romeo four quebec sierra roger landing three six stand by,77.78
184,further climb approved again nav checker five one one,further climb will prove to get after her power,77.78
1970,zero six zero right turn oscar papa romeo mike,zero six zero hard turn hows the papa going to make it,77.78
685,cleared to land runway one four delta hotel golf,go to them avi one four two go go go,77.78
348,six echo one two seven decimal one two five,november six echo november one tango this is november one two five ahoy,77.78
521,lufthansa seven one four affirm three three zero fine,standby for mike four affirm echo two papa zero is fine,77.78
116,november five one one we are reaching five thou,were gonna land a five one one we are reaching fivezero zero zero,77.78
174,ok we ll heading in zero nine zero degree,okay well like to surround our heading in zero nine zero degrees,77.78
2470,turn right heading one one zero cleared for ils approach runway one three,turn the right heading one one zero quick foxtrot oscar lima lima oscar whiskey uniform papa approach runway one three,76.92
1588,csa seven alfa juliett turn right heading three zero zero for sho sequence,csa is on alpha juliet and ride her in three zero zero four sequence,76.92
1990,right heading one one zero cleared ils one three csa three charlie zulu,radio one zero cleared lima sierra one three csc three charlie were looking for you,76.92
57,ruzyne radar opera jet three hundred passing one thousand seven hundred one hotel,russian radar roborod polodny home project three zero zero passing one seven four seven hotel,76.92
717,lufthansa eight mike m contact rhein one three six four zero five go,atc mike mike contact a ryan of an at eight six four zero five,76.92
1737,lufthansa one romeo papa contact praha one three five decimal one three five,cpt to one three five decimal three five cpt one three five decimal three five ok,76.92
1529,radar scandinavian six eight nine flight level three three zero direct to cerno,good morning this is canadian six eight nine i follow three three zero direct to chad and all,76.92
2866,beline one mike m contact bratislava one three four decimal four seven five,bravo lima india november echo one mike india charlie mike india charlie contact bratislava one three four decimal four seven five,76.92
118,praha radar sky travel eight two four climbing flight level one six zero,radar we would hear a state seven eight two for climbing call one six zero,76.92
96,kingfisher zero zero eight contact bratislava one three four decimal four seven five,kilo india november golf foxtrot india sierra hotel echo romeo zero zero eight contact bratislava one three four decimal four seven five,76.92
2042,swiss one two four alfa hello radar contact descend flight level one three zero continue present heading,cessom to follow regard compact distance wide level one or three zero continue presenting,76.47
1375,csa seven six five turn left heading zero eight zero left heading zero eight zero csa seven,charlie charlie seven six one after lathering zero eight zero,76.47
1383,praha good evening easy six eight kilo papa departure two hotel passing three thousand eight hundred feet,good evening six eight eight kilo papa voltage to your tower pausing two echo india golf hotel tango hundred feet,76.47
964,praha one three four decimal five nine zero good bye three four five nine zero easy six one three golf by,bravo hotel one three fourfive nine zero good bye,76.19
695,direct to kolad lufthansa four november l lufthansa seven five nine descend flight level three zero zero cross rapet at level,id like to call you at one one im on my way this is seven five nine descent flight level three zero zero cross lap at that level,76.19
318,austrian five one alfa delta praha hello radar contact climb flight level three four zero climb to level three four zero austrian seven alfa delta,well go to the airport to get contact with the three four zero the three four zero thats it were on the delta,76.0
112,nine whiskey golf november,and wait for november,75.0
623,air france one nine,afonso one nine nine,75.0
628,seven five good bye,seven oclock,75.0
1196,praha lot three five three turbulence flight level three two zero please,cacalot three five charlie duty to the balance cacalot three two zero,75.0
1336,own navigation direct rapet lufthansa one romeo mike,on navigation director update lufthansa one on your mic,75.0
950,one three four four seven five bye bye,one three four decimal four seven five bye bye see you in the ocean,75.0
2560,konterak one whiskey alfa warsaw one three two decimal seven good bye,contract one with kilo alfa lima papa hotel alfa contract garchava one three two decimal seven good bye,75.0
139,left turn to venux csa three delta lima,left hand to banach csa three delta ill tell him off,75.0
2761,lomki six romeo could,six,75.0
385,fedex seventy seven heavy sydney tower good day,six seven seven heavy city tango,75.0
2248,praha moladava eight six three descend level three six zero inbound rapet,la jolla toveregana model a six zero descent level three five zero inbound rapid,75.0
1058,one thousand nine hundred,onenine nine nine hits,75.0
2531,praha radar contact climb flight level three one zero climb flight level three one zero klm one eight four six,charlie romeo alfa hotel oscar radar contact climb flight level three one zero flight level three one zero charlie romeo alfa november alfa one eight papa oscar charlie tango,75.0
2095,proceed to varik wizz air five five six,i see the body whos at five five six,75.0
1079,down flight level one,down,75.0
2523,praha radar lufthansa three alfa november passing one correction two one two climbing two eight zero,wow that was a lot of fun were done passing one correction two one two climbing to aetto,75.0
2453,ing three six zero csa nine two delta,november six oscar cso nine two well done,75.0
2570,tower hello channex ei,hello traffic,75.0
196,four five passing one thousand six hundred to five thousand feet baltu,four five passing onesix zero five one thousand feet bow two three,75.0
601,qantas seventy five twenty eight heavy sydney tower,seven five two eight heavy send each out,75.0
1041,eight eight seven descend flight level seven zero,two sierra tango alfa romeo eight eight seven descent flight level seven zero,75.0
1633,five juliett any speed restriction for us please,at the speed of the restrictions for us please,75.0
1165,cleared to land runway three one csa five,nitc one three three five,75.0
108,wizz air five nine one runway three one cleared for takeoff wi,weve got five nine one runway three one cleared for tango alfa kilo echo oscar foxtrot foxtrot,75.0
2261,csa seven four three,system for three,75.0
996,five five good day,high five great,75.0
255,proceed direct to artup,uh proceed direct to alt two,75.0
1610,rogre one more landing,roger one more one ding,75.0
275,one zero two two,one little to do,75.0
496,and any speed suggest,and any speeds to zen,75.0
990,hotel echo xray taxi to juliett parking approved,i think im good thanks to jvm parking approved,75.0
1657,november alfa sierra taxi to holding point delta,remember to fasten your taxi to the ringpoint delta,75.0
2199,six zero confirm correct,correct,75.0
580,qality nine one romeo,ill call nine one one,75.0
493,zero free speed and one zero one ni,one zero one nine zero,75.0
2600,beline one charlie lima descend flight level two nine zero descending flight level two nine zero beline one charlie lima,bienvencio lillema this is flight level two nine zero,75.0
178,praha sierra victor oscar any chance for shortcut direct hotel delta os,yes we are we have a chance for you contact hotel delta,75.0
2315,air france one three eight two turn right heading two seven zero,air france one three two tango alfa november november alfa romeo india golf heading two seven zero,75.0
2775,two sixty or less csa three zero three,two six zero lancy ill say three zero two,75.0
1831,wizz air four five four can you confirm,can you confirm the,75.0
745,ready for departure cs,before departure please,75.0
922,roger speed is yours,watch your speed its yours,75.0
64,one zero to somi,zero,75.0
835,wizz air four xray zulu proceed direct papa romeo nine one three,yeah for sure procedure a proper amount nine one three,75.0
1228,climbing level three three zero csa seven seven,bonnecomo three three zero this is san francisco,75.0
820,cing csa five zero,thanks tuesday five oclock,75.0
2795,roger maintain one eighty,roger maintenance one eight zero,75.0
1989,zyne tower csa five three seven established ils approach runway one three,well be back in a moment csc five three were established approach runway one three,75.0
1943,takeoff runway one three,charlie three papa takeoff runway one three,75.0
1894,descend eight zero s,descent alfa zero sierra,75.0
1992,two one nine speedb,one zero nine seven,75.0
1276,followed standard arrival track,full standard roger bye,75.0
2841,reducing one forty jobair zero five one papa,reducing one four zero joe barede roger on papa,75.0
757,left to venox csa seven three two two,atc seven three two good evening,75.0
53,one two zero nine five zero lufthansa two five five zero bye,one two zero decimal nine zero have you heard of thunder two five zero nine,75.0
1954,ix zero climbing two eight zero inbound lanux,two eight zero mut lun off,75.0
1756,decimal eight three midla,uh decimal eight three another zero,75.0
1778,mirates two one fo,good one,75.0
1320,lufthansa six kilo victor praha hello radar contact descend flight level three hundred rapet at level,we have six correct radar contact descent fall level three zero zero traffic level level,75.0
1277,praha radar csa two delta zulu passing two thousand two hundred feet,passing two tango whiskey oscar hundred feet,75.0
1237,left turn direct kolad lufthansa nine lima charlie,lufthansa nine alimachari,75.0
2824,o kilo golf two zero five thank you,thank you,75.0
59,changing ground runway vacated,changing ground ahoy youre located,75.0
725,five hundred or more shamrock six seven xray,and then a more sharp november six seven xray alfa,75.0
1982,one one eight three seven five swedestar zero,one one eight decimal three seven five switch to tower set up,75.0
2535,x bye bye it s a one three three decimal four one zero one three three four one zero,its one three three decimal fourone zero,73.68
609,and beline eight hotel sierra is a three sixty to the right and requesting radar vectors for any approach,and bravo lima india november echo eight to pel charge three six zero to the right and requesting vectors for a new approach,73.68
2107,lufthansa nine echo lima praha radar radar contact climb to flight level nine zero climbing level nine zero lufthansa,we have a radar contact climb to flight level nine zero climb to flight level nine zero we have a radar contact,73.68
866,praga radar hello aero flot two eight five approaching tusin flight level two four zero,roger that have a good report two eight five position one zero one zero flight level two four zero,73.33
731,and sky shuttle one one four zero what is the reason for we already descen,and skyler one month for the what is the reason for the romeo delta papa one zero,73.33
2394,ruzyne tower csa zero two five ils one three csa zero two five continue approach,charlie sierra charlie zero two five i have a two zero charlie sierra charlie zero two five continue approach,73.33
2792,good day turkish one seven six eight climbing flight level two eight zero requesting level,good day to you one two one six eight climbing good day to you one two eight recuicing level,73.33
1939,finn air eight zero seven mike hello praha radar contact proceed direct romeo alfa kilo,final address is m other area contact proceed direct from alpha kilo,73.33
58,csa six nine zero ruzyne tower line up runway one three cleared for takeoff wind one five zero degrees four knots lining up and cleared for,bricsher cessna six nine zero zeta vero vena promim yvant three qifo tech covin onefive zero degrees four knots its kecher,73.08
1294,lux air eight one mike turn left heading zero eight zero,naxxir i have a microphone on zero eight zero,72.73
2177,nor shuttle one five one four ruzyne tower good afternoon roger,good afternoon roger,72.73
441,quality nine one romeo ruzyne tower startup approved time two seven,time two seven,72.73
154,going to one three four eight seven five sierra s tango,going to one three four eight the victor alfa mike five ahoy quiero tener tengo,72.73
168,ero left turn to papa romeo nine zero six csa si,one zero zero left to paparo nine zero six esa six,72.73
1543,one one eight three seven five aero flot one four four,one onethree seven five this is daniel ralp onefourfour,72.73
158,x nine one descend flight level nine zero and left hea,six nine one to some point of a minor zero and left,72.73
1953,praha good afternoon lufthansa nine alfa foxtrot level three three zero,good afternoon lufthansa,72.73
1152,sierra papa sierra contact praha information one two six decimal one,zero zero contact praha information one two six decimal one we are on station zero,72.73
51,csa nine two delta line up runway three one and wait,charlie november charlie delta oscar lima tango line up runway three one on weight,72.73
2471,wizz air four romeo papa sorry runway one three for landing,bitterführer vopa sorry runway one three four i think,72.73
282,hotel bravo kilo golf november berne tower hello qnh one zero two seven enter via route zulu runway three two in use traffic rega helicopter just abeam gerzensee leaving direction thun indicating four thousand five hundred feet not verified opposite,atbro kg n burntower elo knh one zero two seven echo november tango oscar uniform romeo r zulu runway three two n reg helicopter just ahh ahh beam get leaving direction two indicating four foxtrot india victor echo hundred feet not verified opposite,72.5
749,hotel bravo zulu oscar bravo berne tower enter control zone via route whiskey and say your program again,and say your program again,72.22
430,praha radar csa nine zero five passing two eight three descending to flight level two two zero approachi,radar dsc nine zero five to papa romeo echo whiskey echo tango chair passing two eight three descend into flight level two two zero approaching,72.22
1580,beline two eight golf praha radar contact proceed direct oscar kilo golf climb flight level three zero zero,bravo lima india november echo two eight golf papa radar contact proceed direct oscar kilo india lima oscar golf oscar lima foxtrot com flight level three zero zero,72.22
2458,s papa alfa victor alfa good evening praha radar roger radar contact maintain flight level one two zer,good evening papa good evening radar contact may one zero flight one one tuzor,72.22
789,wizz air five five six good morning radar contact climb flight level one six zero climb flight level one six zero wizz air five five,good morning great air contact cloud flight level one six zero,72.0
204,two six passing two thousand eight hundred,passing two eight zero zero,71.43
290,contact departure china southern three two six,combat departure china one zero zero zero three two six,71.43
485,five cimber five one eight good bye,good bye,71.43
2226,csa five delta romeo ready for next,delta mike lima headed for next,71.43
2087,ead for visual approach runway one three,before visual approach on way one charlie,71.43
2335,lufthansa seven seven papa contact rhein one three six four zero five bye bye,lima uniform foxtrot tango hotel alfa november sierra alfa seven seven papa contact ryan one three six four zero five bye bye,71.43
83,ufthansa two victor charlie direct to s,this is tuviktor charlie right to,71.43
1811,r five four wizz air four romeo,five four,71.43
1731,hansa two uniform xray down flight level,the two uniform except,71.43
2693,hello praha this is the shamrock si,uh prahal this is a shamak six,71.43
1835,one two seven decimal one two five,one two seven december one two five aha eight kilo nine,71.43
845,lufthansa two echo kilo praha radar co,when the two echo kilo per hour radar,71.43
647,number one report final hotel echo xray,so one report final were very quick thanks,71.43
2914,direct mikov aero flot two seven three,connect november four four two seven zero,71.43
1696,left turn baltu lufthansa eight november echo,left turn by to lufthansa eight lower back over,71.43
684,fedex three four praha morning radar contact,first we hope to have morning radar contact,71.43
2339,lufthansa five juliett whiskey hello radar contact what s your requested final level lufthansa five juliett whiskey level three five zero,cpt to the right contact what is your request at final level cpt to the right level level three five,71.43
2705,scending level three five zero inbound to,and you know straight larger inbound to,71.43
1893,climb three two zero b air one,five two two zero bravo lima,71.43
1466,csa four echo proceed direct to rapet,csc for a call proceed direct to rapid,71.43
501,high speed approved emirates one three nine,speed up road dymonds one two nine,71.43
2194,praha radar good morning sky travel one,good morning,71.43
1985,romeo golf cotinue heading expect right tu,final sonoma gulf continue heading expect right there,71.43
2349,lufthansa three lima juliett hello radar contact,one two three lem module has hello radar contact,71.43
2342,tower speed bird three zero charlie ready,so how do you speed up three zero charlie ready,71.43
2689,qantas nine ninety four tower good day,qalyst nine nine four whats the tailgate,71.43
1301,ruzyne tower csa four zero six d,theres that diverse cc four zero six,71.43
1839,five degrees left for vectoring ils one,five degrees flat four vectoring i was from,71.43
2441,lufthansa nine victor v praha radar contact,radar contact,71.43
423,confirm when localizer established we re established nor shuttle one five one four roger contact ruzyne tower one one eight decimal one good day,charlie oscar mike papa alfa mike move and localize theyre established were established november one papa one four pad contact curzine tower one one eight seven one good day,70.83
1031,tower csa six one nine establish ils one three csa six one nine ruzyne tower continue approach,the air traffic is six one nine continue approach,70.59
1955,csa one alfa juliett descend flight level nine zero contact ruzyne radar one one nine decimal zero,this is pajoy descent flight level nine zero contact rusnya radar runway nine zero roger good evening,70.59
2424,csa nine two zero runway one three cleared for takeoff wind one eight zero degrees three knots,csa nano two zero runway one three call for tango alfa kilo echo oscar foxtrot foxtrot wind one eight zero degrees three knots its kilo four,70.59
2233,tango charlie november kilo alfa apron hello turn left via alfa yankee two ten foxtrot seven three,n k k i turn left via i yankee two one zero fox r seven three,70.59
2323,vista jet four nine two no landing vacated own discretion,with the jet four nine two after landing located on this crush,70.0
2382,one two zero two seven five csa four victor papa,one two zero decimal two seven five csa four vyto go for a approach around,70.0
1128,quality eight two five bravo praha good morning radar cont,good morning radar control,70.0
1279,one two seven eight two five opera jet three hundred,one two seven decimal eight two five nasr ejo para jett three zero zero,70.0
2635,good evening euro trans one three juliett startup and push back approved position to foxtrot squawk four four two five,good evening utrans one three juliet sierra tango alfa romeo tango uniform papa and pushback approved position two f squawk four four two five,70.0
810,beline six one golf radar departure terminated direct to rapet,bravo one six one go for radar departure terminate it left direct to rapet,70.0
2235,cleared to land runway three one csa eight five three,group roger runway three one five zero two zero,70.0
1216,finn air eight zero three mike praha hello radar contact,hello radar contact,70.0
2781,praha jat two seven two level is three four zero,taco dow is heading at two seven two always three four zero,70.0
958,clearance to telaviv via voz one hotel departure squawk alfa,cleared to tvaviv via bujice via the hotel departure sku galfa,70.0
993,ruzyne tower csa nine seven five visual approach runway one,which visual approach only one,70.0
195,radar csa five seven hello descending three two zero to,hello this is three two zero to nastik,70.0
2176,three four four seven five good bye turkish one nine,three four four seven five goodbye turkish one mike india november echo romeo,70.0
1146,flight level one three zero passing level one four three direct to and information lima qnh one zero one eight,and information lima skin age one zero one eight,70.0
249,csa eight three foxtrot reduce to two five zero knots,charlie sierra india three fox is not reduced to two five zero knots,70.0
804,at three one and wait cimber three five two six,kilo november oscar three one and wait kilo november oscar three six,70.0
315,southern air eight five zero zero roger line up runway three one line up and wait three one sunair eight five zero zero,seven eight zero zero retroline up and wait tango one,69.57
431,ive quebec out of two seven zero climbing two eight zero inbound pi,five cribble over then out of two seven zero were clamping two eight cheering about the,69.23
510,on board and startup approved to brusseles runway three one baltu two bravo,im bored and thought of a press to brussels runway three one about to bravo,69.23
590,praha good morning lufthansa four papa juliett level three two zero at agnav,parwood mol look for that bumper badger at level three two zero at dagna,69.23
1772,india juliett report hotel sierra or golf sierra qnh one zero one seven,in the juliett romeo echo papa oscar romeo tango hotel sierra or golf foxtrot qnh one zero one seven,69.23
1479,austrian seven zero five papa call ground one two one nine good bye,atc proper call ground one two one im on a good back,69.23
1105,csa six three alfa contact radar one two zero decimal two seven five,charlie sierra alfa six three alpha contact grid romeo one two zero decimal two seven five vanna plus no,69.23
2188,after passing one zero dme oscar kilo lima left turn direct to rapet,im passing one zero next dna off security mode left turn biorector rapid,69.23
2549,hotel delta sierra descending flight level one seven zero on course to somis,approach good evening bdna total share descending flight one seven zero course to sommi,69.23
1678,eight two four taxi left hotel lima hold short of runway two fo,two four taxi left hotel lima alfa lima tango sierra hotel oscar tango of runway two four,69.23
2524,aero flot one two four good evening radar contact i ll call you,good evening radar contact,69.23
1069,one three four four four zero aero flot two seven three thank you,one three four four four zero dostoyevsky youre oscar foxtrot foxtrot romeo oscar alfa delta two seven three thank you,69.23
159,lufthansa six hotel xray when ready descend flight level two five zero cro,and now the next stop is venerate descent flight level two five zero crosswind,69.23
419,one two seven one two five nor shuttle one six three two bye,one two seven want you fine ozg bye,69.23
974,praha radar good evening oscar yankee zero golf charlie flight level four three zero at tusin,good evening osca ynq ccl bos ccl flight level four three zero in twozero zero zero,68.75
2728,easy six six yankee runway one three cleared for takeoff wind zero zero zero degrees fi,this is six one six key runway one three please proceed with zero decimal zero zero eight five,68.75
2469,boeing three seven csa seven kilo golf left turn one five zero cleared for ils approach runway one t,yes the sound is clear go left one zero one five zero clear for the runway runway one,68.42
2202,speed bird four alfa charlie continue present heading for vectoring runway three one contact radar one one nine decimal zero good bye,speedbeds follow for charlie consumer present heading for vectoring current victor three one contact radar bottom of the line at the center goodbye,68.18
2730,lima hotel juliett stand two zero belin eight hotel sierra good day,lima hotel juilliard stand to zero behind head hotel thank you very much good day,66.67
366,sun express three eight zero zero praha hello radar contact descend flight level two nine zero descending flight level two nine zero sun express,cessna two eight zero zero bravo radar contact descent hot alpha two nine zero cessna two eight zero zero alpha two nine zero cessna express uh,66.67
1283,nor shuttle three five eight one,north shuttle three five eight one were rolling now,66.67
104,two ten seven one one zulu,one zero seven one one two two,66.67
2475,one two zero two seven fi,about to zero to seven five,66.67
152,eed two six zero knots five five alfa two,speed two six zero knots so far so far for two,66.67
80,descending four thousand feet one zero one eight maintaining the heading quality,sending four zulu echo romeo oscar feet one zero one eight maintaining the heading call it two,66.67
1223,i do confirm,how do you confirm,66.67
339,beline two lima kilo descend flight level nine zero,bravo lima india november echo two lima kilo descent flight level nine zero,66.67
2502,quality two three whiskey direct lagar,four two decimal two three whiskey direct lagara,66.67
2787,radar good eve,radar,66.67
2748,wizz air four charlie bravo approachin,with the four johnny bravo approaching,66.67
151,csa nine one seven descend flight level nine zero,youve seen another one seven seven five level nine zero zero,66.67
1195,following down holding,slowing down within holding,66.67
1312,radar five three three good morning,good morning,66.67
244,six juliett foxtrot,six foot oxford,66.67
1347,confirm ready for departure sky travel one three one zero three four roger line up runway three one cleared for takeoff wind is calm,i confirm ready for departure skytraver one zero three four for july runway three one clear for tango alfa kilo echo oscar foxtrot foxtrot wind is calm,66.67
1473,tower csa nine one six holding point three one ready for depar,the audience is saying another one six hold it point three one ready for departure,66.67
2646,bline six one golf radar departure turn left headin,victor one six one go radar departure one zero left heading,66.67
2649,praha radar lot three nine one flight level three four zero inboud,radar left three nine one whiskey nine one two level three four zero in montomcy,66.67
2652,klm three five one turn right two two zero turn heading two two zero klm three five one,kilo one three five one tonight heading two two zero,66.67
1234,climbing level three four zero lot two zulu kilo,timing level three four receive a lot two seven kilo check it,66.67
2596,tango seven charlie lima mike sion,dungo seven charlie my mics jump,66.67
2686,expediting speed reduction,expedite image speed reduction,66.67
1171,ryan air uniform echo go ahead,go ahead,66.67
2563,lining up runway two one runway,heading up the next one roger,66.67
1231,seven eight nine,eight nine zero,66.67
2559,ding two one five csa five,link to one zero five thursday five,66.67
1175,zero air france,zero,66.67
2550,sky travel one two zero one ready for descend,new it has got a one two zero one ready for descent,66.67
330,zero beair five,zero verify,66.67
2706,say again please,second please,66.67
289,call you shortly,go shortly,66.67
2537,finn air eight zero eight mike praha radar contact,cna zero is marked wdm praha radar contact,66.67
2712,wizz air four xray zulu descend flight level seven zero continue present heading vectoring ils approach three one,yeah for xray romeo alfa yankee sierra all decent flight level seven zero continue present in electronic hours approach three one,66.67
1118,clear to tel,clear to the left,66.67
1062,cleared to la,clear to land,66.67
2463,three one ready,ready,66.67
2221,austrian nine two charlie victor praha radar contact standby,afternoon this is charlie with the radar contact bye,66.67
965,rect cerno thank you malta five,thank you,66.67
1692,affirm nav checker five papa one,nusecrow five four one,66.67
612,one three three three nine zero german wings two one four zero,one two three decimal three nine zero during two zero zero hotel zulu,66.67
2169,now left to climbing flight level one six zero czech holidays seven four two zero,now left the fujitsu climbing climb level one two zero achieve all your alfa seven flow to zero,66.67
599,letko at level,lets go at level,66.67
1501,bline six november bravo contact vienna one three one decimal three five zero good b,bravo lima india november echo six november golf contact vienna one three when the sumo three five zero good bye,66.67
2219,roger three one three descend flight level eight zero,so generally just in three one three you supply level eight zero,66.67
1000,nine zero speed two three zero wizz air five,top of mind zero speed two three zero with your five mile,66.67
482,one one eight,one more made,66.67
550,when ready descend flight level two nine zero csa eight zero five,a weather that eight zero simple at level two nine zero csa zero five,66.67
540,ready for push requesting push back beline seven z,ready for push were adjusting pushback tabula scissor,66.67
